scores	parameters
0.91875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 'auto', 'model__solver': 'lsqr', 'model__tol': 0.0001
0.91875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 'auto', 'model__solver': 'lsqr', 'model__tol': 0.001
0.90625	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 0.5, 'model__solver': 'lsqr', 'model__tol': 0.001
0.90625	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 0.5, 'model__solver': 'lsqr', 'model__tol': 0.0001
0.89375	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 0.1, 'model__solver': 'lsqr', 'model__tol': 0.0001
0.89375	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 0.1, 'model__solver': 'lsqr', 'model__tol': 0.001
0.8875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 0.1, 'model__solver': 'lsqr', 'model__tol': 0.001
0.8875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 0.1, 'model__solver': 'lsqr', 'model__tol': 0.0001
0.8875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': None, 'model__solver': 'svd', 'model__tol': 0.0001
0.8875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': None, 'model__solver': 'svd', 'model__tol': 0.0001
0.88125	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': None, 'model__solver': 'svd', 'model__tol': 0.001
0.86875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 0.5, 'model__solver': 'lsqr', 'model__tol': 0.001
0.86875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 0.5, 'model__solver': 'lsqr', 'model__tol': 0.0001
0.86875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 'auto', 'model__solver': 'lsqr', 'model__tol': 0.001
0.8625	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 'auto', 'model__solver': 'lsqr', 'model__tol': 0.0001
0.8625	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': None, 'model__solver': 'lsqr', 'model__tol': 0.0001
0.85625	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': None, 'model__solver': 'svd', 'model__tol': 0.001
0.8375	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': None, 'model__solver': 'lsqr', 'model__tol': 0.001
0.7875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': None, 'model__solver': 'lsqr', 'model__tol': 0.001
0.43125	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': None, 'model__solver': 'lsqr', 'model__tol': 0.0001
	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 'auto', 'model__solver': 'svd', 'model__tol': 0.0001
	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 'auto', 'model__solver': 'svd', 'model__tol': 0.001
	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 0.1, 'model__solver': 'svd', 'model__tol': 0.0001
	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 0.1, 'model__solver': 'svd', 'model__tol': 0.001
	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 0.5, 'model__solver': 'svd', 'model__tol': 0.0001
	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 0.5, 'model__solver': 'svd', 'model__tol': 0.001
	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 'auto', 'model__solver': 'svd', 'model__tol': 0.0001
	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 'auto', 'model__solver': 'svd', 'model__tol': 0.001
	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 0.1, 'model__solver': 'svd', 'model__tol': 0.0001
	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 0.1, 'model__solver': 'svd', 'model__tol': 0.001
	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 0.5, 'model__solver': 'svd', 'model__tol': 0.0001
	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fc727044860>, 'model__shrinkage': 0.5, 'model__solver': 'svd', 'model__tol': 0.001
