feature	importance
L_10_A19	0.18
L_4_A5	0.12
L_1_A6	0.1
L_1_A12	0.08
L_5_A5	0.06
L_9_A9	0.06
L_3_A16	0.04
L_5_missing	0.04
L_10_A13	0.04
L_4_A17	0.04
L_9_A10	0.02
L_5_A11	0.02
L_6_A4	0.02
L_6_A5	0.02
L_6_A9	0.02
L_2_A7	0.02
L_10_A16	0.02
L_10_A8	0.02
L_1_A1	0.02
L_9_A7	0.02
L_1_A4	0.02
L_10_A17	0.02
L_9_A12	0.0
L_7_A44	0.0
L_5_A8	0.0
L_6_A14	0.0
L_9_A8	0.0
L_6_A6	0.0
L_9_A4	0.0
L_7_A10	0.0
L_7_A3	0.0
L_7_A5	0.0
L_8_A8	0.0
L_7_A6	0.0
L_7_A7	0.0
L_7_missing	0.0
L_8_A13	0.0
L_5_A44	0.0
L_8_A2	0.0
L_8_A3	0.0
L_8_A44	0.0
L_8_A5	0.0
L_9_A3	0.0
L_8_A6	0.0
L_8_A7	0.0
L_10_A2	0.0
L_5_A15	0.0
L_5_A3	0.0
L_3_A3	0.0
L_10_A18	0.0
L_1_A3	0.0
L_1_A44	0.0
L_1_A7	0.0
L_1_A8	0.0
L_2_A13	0.0
L_2_A2	0.0
L_2_A44	0.0
L_2_A5	0.0
L_2_A8	0.0
L_2_missing	0.0
L_3_A14	0.0
L_3_A15	0.0
L_3_A44	0.0
L_5_A18	0.0
L_3_A6	0.0
L_3_A8	0.0
L_3_A9	0.0
L_4_A10	0.0
L_4_A15	0.0
L_4_A16	0.0
L_4_A2	0.0
L_4_A4	0.0
L_4_A44	0.0
L_4_A7	0.0
L_10_A44	0.0
L_5_A16	0.0
L_5_A17	0.0
L_10_A10	0.0
